RA,DEC,zCMB,x1,e_x1,c,e_c,mB,e_mB
132.09638999999999,30.540565,0.02756,-2.4060799999999998,0.18545,0.07005610000000001,0.050429400000000006,16.99767,0.0866301
149.76568600000002,36.807049,0.03857,0.27310999999999996,0.15342999999999998,0.11664000000000001,0.036153899999999996,17.10664,0.061482400000000006
116.55011699999999,14.526663000000001,0.04501,-0.609171,0.13813,-0.07380110000000001,0.0298267,16.823179999999997,0.0413846
32.485008,33.974918,0.03911,0.3772,0.10792,-0.03914430000000001,0.0319639,16.72416,0.0502994
198.189697,6.877249000000001,0.045630000000000004,1.1443299999999998,0.12653,-0.0439209,0.031671,16.885189999999998,0.047579699999999996
267.733704,5.136757,0.032889999999999996,1.01916,0.42791,0.0598712,0.0322128,16.57299,0.05735930000000001
166.68673700000002,72.249886,0.03784,-1.1175700000000002,0.24616999999999997,-0.0291423,0.0347543,16.90628,0.0576807
286.988403,43.806118,0.04622,0.7691100000000001,0.12609,-0.123623,0.0317591,16.71013,0.04861119999999999
8.930728,14.465013,0.0364,-1.10994,0.22359,0.00205978,0.0302325,16.8794,0.0446156
272.320557,44.660744,0.04728,1.0137,0.5290100000000001,-0.0676578,0.0311743,16.89268,0.04548219999999999
349.64587400000005,48.723553,0.03461,-1.80971,0.10737000000000001,0.00533518,0.0411496,16.61455,0.087312
134.34491,51.172897,0.04385,0.09553769999999999,0.19907,0.0541625,0.0337209,17.11125,0.0535283
243.61161800000002,17.79051,0.04087,0.22880999999999999,0.12803,-0.0370129,0.029507099999999998,16.90096,0.041771499999999996
129.997253,21.033209,0.03858,0.28624,0.17075,0.0249561,0.0323967,17.01755,0.0473849
341.784821,0.5655020000000001,0.042730000000000004,0.77112,0.75165,-0.0483161,0.0335282,16.81664,0.0504397
268.737488,60.340061,0.04618,1.19343,0.16408,0.0501699,0.0347467,17.0674,0.0601899
186.584091,12.261306,0.039560000000000005,-1.58879,0.10845999999999999,0.0156323,0.0334614,17.0642,0.0499682
309.781769,7.763214,0.03503,-0.379198,0.10530999999999999,0.14865,0.032945499999999996,17.127010000000002,0.0540866
194.444931,42.780132,0.0383,0.08722819999999999,0.0785189,0.13043,0.0302619,17.236929999999997,0.0431097
212.67430099999999,32.646095,0.04728,0.08875369999999999,0.18118,-0.095305,0.0300195,16.93122,0.0421403
37.634277000000004,46.306396,0.03744,-0.140345,0.20424,-0.024754400000000003,0.0324548,16.755779999999998,0.0535055
3.9906099999999998,20.419144,0.039889999999999995,-0.497355,0.16426,0.0840764,0.0326262,17.137729999999998,0.0485964
240.391052,23.058926,0.03898,-0.555952,0.19096,0.0367535,0.03800680000000001,17.04106,0.06600189999999999
145.10253899999998,31.127148,0.04745,1.03131,0.30063,-0.09508849999999999,0.0310368,16.94068,0.0426898
213.75851400000002,34.651759999999996,0.04222,-0.122404,0.15219000000000002,0.057407299999999994,0.031578800000000004,17.163079999999997,0.045982499999999996
178.708496,63.365196,0.03706,-1.62544,0.26548,0.05425309999999999,0.035664499999999995,17.17776,0.0676084
246.834579,17.502716,0.03403,-0.74868,0.13733,0.1975,0.0311933,17.28664,0.0455576
327.683014,12.042793,0.040119999999999996,0.48904,0.21431999999999998,0.0839375,0.0326844,17.055,0.051409800000000005
240.10273700000002,12.342514,0.03247,-2.1192599999999997,0.20422,0.1325,0.032284600000000004,17.22662,0.048200400000000004
22.852539,18.981539,0.0391,1.26726,0.49901999999999996,0.23751,0.0329754,17.32911,0.045907199999999995
162.73821999999998,23.436127,0.03393,-2.30305,0.16715,0.22682,0.030116000000000004,17.37677,0.0437496
160.53636200000003,51.671227,0.043660000000000004,-0.05439600000000001,0.10169,0.06381469999999999,0.030615800000000002,17.21247,0.0425995
132.929565,44.627548,0.04802,0.14670999999999998,0.18117,-0.0164462,0.0356454,17.095979999999997,0.0660569
195.265289,8.105595,0.0468,0.83711,1.21559,-0.197908,0.083003,16.84314,0.13895
243.55896,5.266795,0.04382,-0.9762120000000001,0.1143,-0.0228737,0.036358,17.02659,0.0653201
254.680618,56.839115,0.04161,-2.0463400000000003,0.10246,0.07940069999999999,0.04311,17.30114,0.08335269999999999
142.85398899999998,51.011967,0.04005,-2.41862,0.11982999999999999,-0.12306500000000001,0.0284957,17.006079999999997,0.041526099999999996
245.85150099999998,51.109103999999995,0.04583,-0.00357272,0.26316,0.0263926,0.0369561,17.19557,0.05615219999999999
251.43588300000002,55.088947,0.0412,-1.54855,0.16310999999999998,0.11495999999999999,0.042053600000000003,17.35976,0.08216989999999999
141.356293,48.224579,0.04116,1.11887,0.25545,0.11475,0.038856199999999994,17.327920000000002,0.0702725
154.61691299999998,45.170933000000005,0.04879,-0.00894291,0.08355499999999999,-0.11723399999999999,0.0287101,17.05259,0.0392175
112.51741000000001,21.079716,0.045610000000000005,-0.340454,0.18932000000000002,0.024393900000000003,0.0308047,17.148329999999998,0.044387199999999995
357.47454799999997,12.220907,0.04274,-0.23261700000000002,0.33462,-0.041569800000000004,0.043994099999999994,17.07603,0.0815212
46.715176,16.833393,0.035910000000000004,-2.4367400000000004,0.37466,-0.03551409999999999,0.0324425,16.87486,0.0512605
189.706711,17.543737,0.03754,-2.2743599999999997,0.09680230000000001,0.19068,0.030111400000000003,17.4844,0.044972000000000005
154.47879,68.755775,0.04083,-2.36345,0.22351999999999997,-0.0491721,0.04765030000000001,17.12799,0.07294310000000001
140.112671,0.544024,0.039310000000000005,0.76089,0.12669,0.15663,0.0309786,17.38423,0.0438283
121.569275,45.315071,0.043230000000000005,0.85225,0.1777,0.07320349999999999,0.031160200000000002,17.23895,0.045019800000000006
329.680817,33.534935,0.04698,1.3276299999999999,0.16218,0.0271013,0.0329995,16.98878,0.0507299
299.471466,10.25796,0.03735,0.34063000000000004,0.17403,0.0257481,0.0343773,16.77149,0.0617198
205.81059299999998,14.891022,0.04528,-1.51918,0.16330999999999998,-0.0547514,0.029803700000000002,17.16103,0.0417745
280.096924,67.61544,0.04238,-1.05637,0.16527,0.10579000000000001,0.0313453,17.28098,0.045427300000000004
331.411041,4.237015,0.0531,0.35796,0.0801673,-0.037211900000000006,0.0300823,17.17548,0.040912000000000004
150.664658,24.927301,0.054529999999999995,1.668,0.12055999999999999,-0.0353129,0.030755200000000003,17.19833,0.041881
4.96277,18.934725,0.03864,-0.8554309999999999,0.2608,0.12946,0.0397132,17.38743,0.061567
240.09094199999998,24.897617,0.04432,-1.17177,0.17292000000000002,-0.041853800000000004,0.0322646,17.13477,0.0477175
229.827637,52.25322,0.049010000000000005,1.06532,0.2309,0.00026328,0.0373552,17.29966,0.0682227
193.41186499999998,62.104732999999996,0.049819999999999996,-0.669492,0.0783789,-0.0948827,0.029581299999999998,17.20168,0.040616
